SYMBOL	chromosome	mu_lof	AF_nfe	AN_nfe	NFE_k
ABCG1	21	1.4269e-06	6.195102e-05	108467	6
ADAMTS1	21	2.0143e-06	3.5165e-05	106518	3
ADAMTS5	21	1.6381e-06	9.093630999999999e-05	108122	9
ADARB1	21	1.0478e-06	1.763357e-05	109108	1
AGPAT3	21	1.0859e-06	0.0	111102	0
AIRE	21	1.4743e-06	0.00074625541	105806	78
AL050302.1	21	1.2934000000000002e-07	0.0070625872	87886	620
AP000275.65	21	1.0388e-06	0.00025622483	110401	28
AP000295.9	21	6.826999999999999e-07	5.3810769999999994e-05	110702	5
AP000304.12	21	5.707899999999999e-07	1.758675e-05	109611	1
AP000688.1	21	6.5876e-09	0.0	109839	0
AP000695.1	21	0.0	0.0	107474	0
AP001468.1	21	2.1623e-07	0.0	111711	0
APP	21	2.8033e-06	9.678162e-05	112811	10
ATP5J	21	3.4304000000000003e-07	2.71714e-05	100870	2
ATP5O	21	6.4708e-07	5.920557e-05	107278	6
B3GALT5	21	3.3345999999999997e-07	3.5342620000000004e-05	94359	3
BACE2	21	8.9746e-07	5.2837969999999996e-05	107757	5
BACH1	21	1.2458e-06	5.547304e-05	111357	6
BRWD1	21	6.2419e-06	8.341844000000001e-05	106927	8
BTG3	21	6.506000000000001e-07	8.81057e-06	111100	0
C21orf128	21	6.1419e-08	1.0170900000000001e-05	103841	1
C21orf2	21	6.435500000000001e-07	2.679994e-05	101228	2
C21orf33	21	5.128e-07	0.00022917376	107718	24
C21orf49	21	9.6408e-08	0.0	105183	0
C21orf58	21	7.187300000000001e-07	0.00015895104	107242	17
C21orf59	21	1.0294e-06	0.00020348053	109206	22
C21orf62	21	2.8634e-07	8.83986e-06	111709	0
C21orf67	21	2.2257e-07	0.0	86804	0
C21orf88	21	1.9111e-07	0.0	60873	0
C21orf90	21	9.4565e-08	0.0	113066	0
C21orf91	21	6.491599999999999e-07	4.463138e-05	109441	4
C2CD2	21	1.5292e-06	9.682091999999998e-05	111935	10
CBR1	21	4.4386e-07	7.631849e-05	106209	8
CBR3	21	3.084e-07	7.977689e-05	109342	8
CBS	21	1.2745999999999998e-06	0.000125409	104766	13
CCT8	21	1.3916e-06	8.85316e-06	108359	0
CHAF1B	21	1.3072e-06	2.6476100000000002e-05	111414	2
CHODL	21	8.174899999999999e-07	6.334375e-05	109619	6
CLDN14	21	2.7368e-07	4.5732659999999994e-05	109353	5
CLDN17	21	2.8868999999999997e-07	0.00034459138999999995	112447	38
CLDN8	21	1.9604e-07	2.6403509999999996e-05	111676	2
CLIC6	21	6.1313e-07	0.00011459198	108711	12
COL18A1	21	4.1565e-06	0.00022757801	101828	23
COL6A1	21	3.4626e-06	3.624034e-05	103536	3
COL6A2	21	2.8406e-06	0.00011603158000000001	108059	12
CRYAA	21	3.4439e-07	0.0	110077	0
CRYZL1	21	9.634600000000001e-07	0.00013869778	108297	15
CSTB	21	1.3005e-07	0.00032528067000000004	113673	36
CXADR	21	9.9529e-07	3.5287420000000005e-05	111058	3
CYYR1	21	2.1795000000000002e-07	0.00192748574	109911	211
DIP2A	21	3.5526e-06	0.00010647296	106855	11
DNAJC28	21	1.0481e-06	0.00065410198	108083	70
DNMT3L	21	1.2094e-06	0.00024263513	108966	26
DONSON	21	1.4046e-06	0.00014380671999999998	108652	15
DOPEY2	21	5.0283e-06	0.00041127004	110881	45
DSCAM	21	5.2273e-06	6.310073e-05	109905	6
DSCR3	21	6.3936e-07	7.91982e-05	109247	8
DSCR4	21	1.2286e-07	6.36577e-05	108686	6
DSCR8	21	1.0012e-07	0.0	107688	0
DYRK1A	21	2.0201e-06	1.763218e-05	109273	1
ERG	21	1.0062e-06	8.8022e-06	107031	0
ETS2	21	1.0316e-06	0.0	110577	0
EVA1C	21	9.0264e-07	5.3106289999999996e-05	109526	5
FAM207A	21	3.5069e-07	5.332063e-05	99360	5
FAM3B	21	6.1484e-07	0.00022885178	110038	25
FTCD	21	1.4325999999999998e-06	0.00018997443	101631	19
GABPA	21	1.4938e-06	9.1411e-06	105409	0
GART	21	2.2096999999999998e-06	0.00014155677	109847	15
GRIK1	21	2.0415e-06	0.00025645156000000003	109382	28
GRIK1-AS2	21	0.0	0.0	107817	0
HLCS	21	1.4488999999999998e-06	0.00010555237	112918	11
HMGN1	21	2.8966999999999997e-07	1.7791670000000002e-05	107286	1
HSF2BP	21	7.378799999999999e-07	0.00016798721	110980	18
HSPA13	21	8.7807e-07	5.294050999999999e-05	111265	5
HUNK	21	1.6683000000000002e-06	8.80142e-06	109831	0
ICOSLG	21	9.076899999999999e-07	6.210347e-05	103655	6
IFNAR1	21	1.0133e-06	0.00013286553	107679	14
IFNAR2	21	7.155599999999999e-07	0.00134168885	109830	147
IFNGR2	21	6.789300000000001e-07	0.0	112453	0
IGSF5	21	8.976000000000001e-07	0.00033430336	109459	36
IL10RB	21	7.764399999999999e-07	4.3963590000000006e-05	110802	4
ITGB2	21	2.0544e-06	0.00013274517	109483	14
ITSN1	21	5.9967e-06	8.934113e-05	110362	9
JAM2	21	1.0559000000000001e-06	7.96468e-05	107926	8
KCNE1	21	8.7157e-08	8.8008e-06	113427	0
KCNE2	21	2.2041999999999998e-07	1.758381e-05	113561	1
KCNJ15	21	4.8036e-07	5.2835349999999996e-05	112433	5
KCNJ6	21	8.0465e-07	5.335865e-05	110552	5
KRTAP10-1	21	3.0794e-07	5.2844980000000005e-05	112024	5
KRTAP10-10	21	2.5894999999999997e-07	3.52613e-05	111916	3
KRTAP10-11	21	3.7502e-07	1.7592929999999998e-05	112666	1
KRTAP10-12	21	3.8033e-07	1.764742e-05	112295	1
KRTAP10-2	21	2.7585000000000002e-08	0.0	112532	0
KRTAP10-3	21	2.3941999999999996e-07	1.76274e-05	111062	1
KRTAP10-4	21	6.361e-07	0.00010645848	112194	11
KRTAP10-5	21	4.2213000000000004e-07	5.2933400000000004e-05	112712	5
KRTAP10-6	21	3.0736e-07	0.24251294786999997	109980	26671
KRTAP10-7	21	5.211800000000001e-07	8.996370999999999e-05	110594	9
KRTAP10-8	21	4.2141999999999997e-07	0.00064221503	113261	72
KRTAP10-9	21	3.0337e-07	1.767659e-05	112856	1
KRTAP11-1	21	3.8315e-07	3.534397e-05	111458	3
KRTAP12-1	21	0.0	0.0	111348	0
KRTAP12-2	21	0.0	0.0	110129	0
KRTAP12-3	21	0.0	0.0	110736	0
KRTAP12-4	21	0.0	0.0	110736	0
KRTAP13-1	21	0.0	0.0	113011	0
KRTAP13-2	21	1.4787e-07	0.0	112428	0
KRTAP13-3	21	3.5547e-08	0.0	110958	0
KRTAP13-4	21	1.0395000000000001e-08	0.0	110958	0
KRTAP15-1	21	0.0	0.0	111369	0
KRTAP19-1	21	0.0	0.0	113490	0
KRTAP19-2	21	0.0	0.0	113532	0
KRTAP19-3	21	0.0	0.0	113477	0
KRTAP19-4	21	0.0	0.0	113541	0
KRTAP19-5	21	0.0	0.0	113518	0
KRTAP19-6	21	0.0	0.0	111873	0
KRTAP19-7	21	0.0	0.0	113150	0
KRTAP19-8	21	0.0	0.0	112491	0
KRTAP20-1	21	0.0	0.0	112508	0
KRTAP20-2	21	0.0	0.0	113265	0
KRTAP20-3	21	0.0	0.0	61107	0
KRTAP20-4	21	0.0	0.0	111452	0
KRTAP21-1	21	2.7216999999999998e-08	0.0	110451	0
KRTAP21-2	21	0.0	0.0	109701	0
KRTAP21-3	21	0.0	0.0	59861	0
KRTAP22-1	21	0.0	0.0	112500	0
KRTAP22-2	21	0.0	0.0	95465	0
KRTAP23-1	21	0.0	0.0	113420	0
KRTAP24-1	21	2.9403000000000005e-07	0.00017904386000000002	110327	19
KRTAP25-1	21	0.0	0.0	60920	0
KRTAP26-1	21	7.6586e-08	0.0	110080	0
KRTAP27-1	21	1.6034999999999998e-08	0.0	112677	0
KRTAP6-1	21	6.3703e-08	0.0	112508	0
KRTAP6-2	21	7.425200000000001e-08	7.051369e-05	112500	7
KRTAP6-3	21	8.471899999999999e-08	0.0	95465	0
KRTAP8-1	21	5.1519000000000006e-08	0.0	111657	0
LCA5L	21	9.5501e-07	5.4822890000000006e-05	109975	6
LIPI	21	8.659499999999999e-07	0.00013329394	111320	14
LRRC3	21	2.0739e-07	7.106273e-05	109540	7
LSS	21	2.3398e-06	9.845944999999999e-05	105806	10
LTN1	21	4.3086000000000006e-06	0.00011164576	108355	12
MAP3K7CL	21	4.7104e-07	8.799610999999998e-05	112440	9
MCM3AP	21	4.048e-06	0.00016818996999999999	110699	18
MIS18A	21	4.4687e-07	0.00010014358	105152	10
MORC3	21	2.4058000000000003e-06	8.83673e-06	108051	0
MRAP	21	2.8714e-07	7.052117e-05	103838	7
MRPL39	21	1.1805e-06	0.00014111883	109109	15
MRPS6	21	4.0915e-07	5.3951519999999995e-05	110551	5
MX1	21	1.5616999999999998e-06	0.00023817182999999998	112181	26
MX2	21	1.8797e-06	0.00030812459	112205	34
N6AMT1	21	3.4741e-07	0.00365040399	105592	385
NCAM2	21	2.1503999999999998e-06	2.36691e-05	107264	2
NDUFV3	21	1.0115e-06	0.0613853821	110776	6800
NRIP1	21	1.7734e-06	8.825499999999999e-06	112561	0
OLIG1	21	1.4989e-07	0.0	84150	0
OLIG2	21	2.0196e-07	0.0	107346	0
PAXBP1	21	3.5393e-06	2.6409240000000004e-05	106965	2
PCBP3	21	1.1578e-06	3.389097e-05	104402	3
PCNT	21	9.0133e-06	0.00106799364	109299	116
PCP4	21	2.7424e-07	4.396968e-05	111875	4
PDE9A	21	2.1302e-06	4.403718e-05	109840	4
PDXK	21	7.528199999999999e-07	0.0	108071	0
PFKL	21	1.9109e-06	0.00023589354999999998	105261	24
PIGP	21	3.2226e-07	8.9072e-05	109908	9
PKNOX1	21	1.1903e-06	0.0	109617	0
POFUT2	21	1.0745999999999998e-06	4.750816e-05	109060	5
POTED	21	2.1549e-07	2.54641e-05	75292	1
