SYMBOL	chromosome	mu_lof	AF_nfe	AN_nfe	NFE_k
AAR2	20	5.696100000000001e-07	0.00010578231000000002	112588	11
ABHD12	20	1.4844e-06	8.007920999999999e-05	111136	8
ABHD16B	20	6.129100000000001e-07	0.000131772	92009	12
ACOT8	20	1.1338e-06	0.00020691830000000002	108704	22
ACSS1	20	1.6312e-06	0.00015036314	110011	16
ACSS2	20	2.0809e-06	0.00019380787	112126	21
ACTL10	20	1.8651e-07	0.0	96940	0
ACTR5	20	1.2711e-06	0.00016972922	110247	18
ADA	20	1.1115999999999999e-06	0.00017280924999999998	109726	18
ADAM33	20	2.3607e-06	0.00038715155	100654	38
ADNP	20	2.2739e-06	0.0	112755	0
ADRA1D	20	5.454100000000001e-07	2.8747509999999996e-05	98741	2
ADRM1	20	7.3723e-07	0.0	103002	0
AHCY	20	9.252799999999999e-07	5.2757159999999994e-05	108897	5
AL031666.2	20	1.7910999999999997e-07	3.451504000000001e-05	94511	3
ANGPT4	20	1.0591e-06	0.00026600478	109086	29
ANKEF1	20	1.6500999999999999e-06	0.00034598767999999996	110765	38
ANKRD60	20	3.1622e-07	0.0	59915	0
AP5S1	20	3.3919000000000006e-07	6.217741e-05	112760	7
APCDD1L	20	5.6332e-07	0.0	99693	0
APMAP	20	1.2893999999999999e-06	9.689221e-05	110901	10
ARFGAP1	20	1.4772999999999998e-06	2.6476290000000002e-05	109391	2
ARFGEF2	20	5.5715e-06	6.156645e-05	112127	6
ARFRP1	20	7.7729e-07	2.674438e-05	102762	2
ARHGAP40	20	1.4985e-06	9.83625e-05	60447	5
ASIP	20	2.8113000000000003e-07	8.79415e-06	104559	0
ASXL1	20	3.2245999999999996e-06	0.00033545542	112375	37
ATP5E	20	2.3443000000000002e-07	3.07693e-05	110338	3
ATP9A	20	3.5404e-06	3.5184509999999996e-05	110013	3
ATRN	20	4.4967000000000005e-06	0.000150039	110785	16
AURKA	20	9.329899999999999e-07	1.75818e-05	112916	1
AVP	20	1.7835e-07	4.39932e-05	104893	4
B4GALT5	20	9.623999999999999e-07	0.0	108909	0
BANF2	20	2.6463e-07	0.0	113188	0
BCAS1	20	1.0862e-06	8.991665e-05	111766	10
BCAS4	20	4.3536e-07	7.392353e-05	108729	8
BCL2L1	20	4.6206000000000005e-07	0.0	107827	0
BFSP1	20	7.948899999999999e-07	7.039836e-05	111817	7
BHLHE23	20	1.1622999999999999e-07	0.0	97168	0
