MAGED2 0.0543004779 0.9150020318 0.206621219 -1.00244051 -9e-08 -0.22952084 2.65976e-05 0.6138653565 0.0846052198 -1.53491091 -0.0719351 -0.60409255
NDUFA1 1.001e-06 0.6713226314 0.0044017984 -5.39827273 -7.74e-06 -0.7741031 1e-10 0.3745255573 0.0027890202 -5.99523293 -0.1950664 -1.19298692
FAM155B 1.0129e-06 0.8335373805 0.0902157721 -1.58765816 -1.537e-05 -0.48686052 5.38e-08 0.5345911291 0.0366974003 -2.1794768 -0.03562993 -0.90043595
MORC4 0.0993712 0.9426853413 0.2927936689 -0.86517904 -5.01e-06 -0.25602253 3.04921e-05 0.6536601992 0.1118562974 -1.38420408 -0.06012541 -0.59769413
DDX53 1.0001e-06 0.7118791737 0.0068017469 -5.26542486 -3.874e-05 -0.66736372 1.9e-09 0.4122649008 0.0043210252 -5.80341085 -0.11769561 -1.07054065
ZNF630 1.0004e-06 0.0341592631 0.0003730211 -5.70283315 -1.33143679 -2.02270306 1.1e-09 0.015080185 0.0001536845 -6.17788831 -1.60792043 -2.43216951
ZFX 0.0364481559 0.9002855924 0.1718819793 -1.06729104 -1.111e-05 -0.2773156 9.4828e-06 0.6078725638 0.0737917572 -1.60298136 -0.07212671 -0.66539563
PPP1R3F 1.0006e-06 0.0625372583 0.0007186298 -5.66166609 -1.04753413 -1.67683777 6e-10 0.0272042029 0.0002863606 -6.12788568 -1.34193249 -2.05280242
BEX2 1.0014e-06 0.7890083142 0.0210011961 -3.67838937 -8.241e-05 -0.57012998 6e-09 0.4867108202 0.0134319602 -4.85280187 -0.00548657 -0.94601043
CTPS2 0.058513133 0.913081554 0.2129935669 -0.98051852 -1.008e-05 -0.21648123 7.87554e-05 0.6186808854 0.0846416069 -1.51027826 -0.07203001 -0.65372882
ZDHHC9 0.023606019 0.8895721922 0.1574316992 -1.13066245 -2.87e-06 -0.34269763 1.429e-06 0.5801133312 0.0642168133 -1.68867121 -0.08713133 -0.68289015
TSC22D3 1.0017e-06 0.795952331 0.0229995954 -3.89553592 -0.00011299 -0.55694486 8.2e-09 0.4884591434 0.0140732605 -4.31528956 -0.01005488 -0.98455057
ACRC 1.0769e-06 0.314184725 0.0500074787 -1.83848827 -0.31802948 -1.10332139 8.4e-08 0.1411820495 0.0202279095 -2.42772162 -0.61193667 -1.43477905
TCEAL1 1.0001e-06 0.6655547688 0.0048006667 -5.37825614 -0.0001166 -0.69143737 3.1e-09 0.3679108402 0.0029543192 -5.97859798 -0.18885079 -1.14700119
ARSH 1.0002e-06 0.0112510374 0.0001387558 -5.84098883 -1.90271051 -2.7751844 8e-10 0.0049800732 5.99215e-05 -6.32632291 -2.11145941 -3.27218438
SUV39H1 0.0152080316 0.8769649156 0.1420311199 -1.17316454 -5.51e-06 -0.36747567 7.332e-07 0.5751797547 0.0600296488 -1.72296127 -0.08690989 -0.70088872
TAF7L 0.0328715118 0.8960779098 0.1604724575 -1.08513767 -5.269e-05 -0.33188296 1.22812e-05 0.5985459825 0.07351642 -1.62857826 -0.0777871 -0.75110528
RAB39B 1.0007e-06 0.8059319122 0.0294057771 -3.16607214 -1.588e-05 -0.53409285 5.3e-09 0.4975130716 0.0169019281 -3.98937371 -0.00259968 -1.00342884
CXorf40A 1.0005e-06 0.6976981282 0.0062018638 -5.33006338 -2.597e-05 -0.66973119 8e-10 0.3910003652 0.0036905159 -5.89486846 -0.1493644 -1.13821026
CCDC160 1.0001e-06 0.022832541 0.0001961415 -5.85993017 -1.62360253 -2.64795141 2e-10 0.0098149527 9.66992e-05 -6.33698089 -1.82816392 -3.55494489
CHDC2 1.0021e-06 0.0310134179 0.0003838715 -5.65916279 -1.34681099 -2.05115113 8e-10 0.0138851366 0.0001616004 -6.12791543 -1.63483243 -2.45662267
CFP 1.0584e-06 0.195247816 0.0448117896 -1.84113429 -0.55112241 -1.21516912 5.9e-08 0.0850812912 0.0192195109 -2.46451641 -0.87085481 -1.53397085
UBE2A 1.0001e-06 0.7794920057 0.0150027515 -4.33405405 -3.573e-05 -0.58574632 8.1e-09 0.4711474931 0.0097123458 -4.99820893 -0.00398916 -1.00865728
MOSPD2 0.0236025185 0.88396647 0.1499972226 -1.13059149 -0.00010354 -0.37329551 1.7207e-06 0.5839134387 0.064357582 -1.67219117 -0.08554639 -0.76027342
BCORL1 0.1532923426 0.9706642328 0.352627853 -0.75574966 -2.665e-05 -0.17165187 0.0066187572 0.6990944442 0.1704581056 -1.24233715 -0.04580763 -0.4954018
CT45A1 1e-06 0.5632128969 0.002601055 -5.69872617 -0.23652078 -1.11628271 2e-09 0.2606981138 0.0015267845 -6.23240321 -0.41671674 -2.14612739
PNPLA4 1.0015e-06 0.4706326873 0.0386036005 -3.18151786 -5.719e-05 -0.99373861 6.4e-09 0.2242499247 0.0110432907 -3.7467995 -0.20354409 -1.3683384
SCML2 0.0547492923 0.9122028505 0.2072647093 -0.99122213 -2.227e-05 -0.24199401 8.0205e-06 0.6176068406 0.0873853456 -1.52616787 -0.07040343 -0.6979408
PIH1D3 1.0027e-06 0.7857076269 0.0195986736 -4.30326404 -0.00013804 -0.60252768 3.8e-09 0.4825486211 0.0123579562 -4.61576647 -0.00851089 -1.02486676
RBMX 0.0302301273 0.891766567 0.1748530309 -1.09778014 -7.08e-06 -0.38064196 2.1726e-06 0.5901000414 0.0680295409 -1.63143326 -0.08082343 -0.76671362
TBX22 0.0250090955 0.8900840692 0.1576205886 -1.12499975 -4.622e-05 -0.37365464 4.046e-06 0.5853770116 0.0678993457 -1.67787113 -0.08075333 -0.77201093
PGRMC1 1.0017e-06 0.7197952476 0.0070009457 -5.25282676 -8.99e-05 -0.66133231 3e-10 0.4183615662 0.0043353533 -5.79118139 -0.11015542 -1.0909001
XIAP 1.4923e-06 0.3476538389 0.0591043812 -1.69851612 -0.32147624 -0.98320099 2.69e-08 0.1575099295 0.0255644613 -2.2702408 -0.60163296 -1.39592586
RAP2C 1.0001e-06 0.7012815469 0.0072018272 -5.23900758 -3.655e-05 -0.67936246 1e-10 0.401779516 0.0045210025 -5.79780676 -0.12160569 -1.11022381
